Disciplina,Ementa,Pré-requisitos,Horas,Semestre,Dificuldade,Departamento,Créditos,Habilidades Adquiridas,Ferramentas Usadas,Métodos de Avaliação
Princípios de Fenômenos de Transporte,"Transferência de calor, fluxo de fluidos, difusão, convecção, radiação",Cálculo de Várias Variáveis; Mecânica Geral,72,4,5,Engenharia Mecânica,3,"Conceitos de transferência de calor, análise de fluxo de fluidos, transferência de massa, teoria da camada limite","MATLAB, Modelos computacionais, Aparelho experimental, COMSOL","Provas 40%, Atribuições 30%, Laboratório 30%"
Química Tecnológica,"Reações químicas, estequiometria, termoquímica, cinética, materiais, aplicações industriais",Física Aplicada,72,4,4,Química,3,"Reações químicas, estequiometria, termoquímica, aplicação industrial, segurança","Equipamento de laboratório, Espectrômetro, Ferramentas analíticas, Equipamento de segurança","Provas 40%, Prática 40%, Relatórios 20%"
Banco de Dados,"Modelo relacional, SQL, normalização, indexação, design de BD, otimização, transações",Programação Estruturada,72,5,4,Ciência da Computação,3,"Design de banco de dados, domínio de SQL, normalização, otimização de consultas, modelagem de dados","PostgreSQL, MySQL, MongoDB, SQLite, Ferramentas de design ER","Provas 30%, Atribuições SQL 35%, Projeto de design 35%"
Engenharia de Software,"Ciclo de vida, requisitos, design, testes, documentação, qualidade, padrões, metodologias ágeis",Programação Estruturada,72,5,6,Engenharia de Software,3,"Padrões de design de software, análise de requisitos, estratégias de teste, documentação, Agile","UML, Jira, Git, Confluence, Ferramentas de design","Provas 25%, Design 35%, Projeto 40%"
Empreendedorismo Social,"Inovação social, plano de negócios, lean startup, prototipagem ágil, pitching",Nenhum,144,5,4,Negócios,4,"Mentalidade inovadora, planejamento de negócios, prototipagem, apresentação, liderança, avaliação de impacto social","Negócios Canvas, Ferramentas de prototipagem, Decks de apresentação, Pensamento de design","Projeto 50%, Plano de negócios 30%, Apresentação 20%"
Estrutura de Dados,"Listas, pilhas, filas, árvores, grafos, hash tables, análise de complexidade, algoritmos",Programação Estruturada,72,5,5,Ciência da Computação,3,"ImplEmentação de estrutura de dados, análise Big-O, design de algoritmos, operações de árvore/grafo","C, Python, Visual Studio, Visualizadores de algoritmos, Depuradores","Provas 30%, Codificação 50%, Projeto final 20%"
Teoria dos Grafos e Matemática Discreta,"Grafos, árvores, conectividade, coloração, caminhos, aplicações em computação, combinatória",Estrutura de Dados,72,5,5,Matemática,3,"Teoria de grafos, combinatória, matemática discreta, resolução de problemas, aplicações","Python, GraphViz, Mathematica, Ferramentas de prova, Ferramentas visuais","Provas 50%, Listas de exercícios 30%, Projetos 20%"
Tecnologia em Meio Ambiente,"Sustentabilidade, energias renováveis, resíduos, impacto ambiental, legislação",Nenhum,72,6,2,Sustentabilidade,2,"Conscientização ambiental, princípios de sustentabilidade, avaliação de tecnologia, compreensão de políticas","Estudos de caso, Visitas de campo, Simulações, Ferramentas de pesquisa","Provas 30%, Projetos 40%, Participação 30%"
Instrumentação Eletrônica,"Sensores, atuadores, condicionamento de sinais, amplificadores, osciladores, medição",Circuitos Elétricos,72,6,5,Engenharia Elétrica,3,"Seleção de sensores, condicionamento de sinais, técnicas de medição, construção de circuitos, calibração","Osciloscópio, Gerador de sinais, Fonte de alimentação, SPICE, Arduino","Provas 35%, Laboratório 40%, Design 25%"
Paradigmas de Programação e Análise de Algoritmos,"Programação imperativa, funcional, orientada a objetos, análise de complexidade, recorrencia",Estrutura de Dados; Teoria dos Grafos e Matemática Discreta,72,6,6,Ciência da Computação,3,"Paradigmas de programação, análise de algoritmos, notação Big-O, recursão, otimização","Python, Java, Haskell, Visualizadores de algoritmos, Perfiladores","Provas 35%, Codificação 40%, Análise 25%"
Programação Orientada a Objetos,"Classes, herança, polimorfismo, encapsulamento, design patterns, SOLID",Programação Estruturada,72,6,5,Ciência da Computação,3,"Conceitos OOP, padrões de design, organização de código, refatoração, princípios SOLID","Java, C++, Python, Ferramentas UML, IDE","Provas 25%, Design OOP 40%, ImplEmentação 35%"
Sistemas de Controle,"Modelagem, funções de transferência, estabilidade, realimentação, controladores, resposta em frequência",Circuitos Elétricos; Cálculo de Várias Variáveis,72,6,6,Sistemas de Controle,3,"Teoria de controle, modelagem de sistemas, análise de estabilidade, design de controlador, resposta em frequência","MATLAB, Simulink, Caixa de ferramentas de controle, Gráficos de Bode, Plano de fase","Provas 40%, Laboratório 35%, Design 25%"
Eletiva,"Tópico avançado em engenharia, seleção do aluno baseada em interesses e pré-requisitos",Varia por tópico,72,7,5,Varies,2,"Conhecimento especializado, tópicos avançados, expertise eletiva, pesquisa focada",Varia por tópico,Varia por tópico
Arquitetura de Computadores e Tecnologias Embarcadas,"Organização de CPU, instruction sets, pipeline, memória, cache, sistemas embarcados, IoT",Circuitos Lógicos; Programação Estruturada,72,7,6,Arquitetura de Computadores,3,"Arquitetura de CPU, hierarquia de memória, conceitos embarcados, conceitos em tempo real, otimização","Verilog, VHDL, ARM Cortex, Linguagem Assembly, Simuladores, Arduino","Provas 40%, Laboratório 35%, Projetos 25%"
Computação Visual,"Processamento de imagens, visão computacional, reconhecimento, segmentação, transformações, aplicações",Álgebra Linear; Programação Orientada a Objetos,72,7,7,Visão Computacional,3,"Processamento de imagens, detecção de recursos, reconhecimento de objetos, detecção de arestas, fundamentos de CNN","OpenCV, Python, TensorFlow, MATLAB, Bibliotecas de gráficos","Provas 20%, Projetos de visão 50%, ImplEmentação 30%"
Eletrônica Digital,"Lógica Digital avançada, FPGA, verilog, síntese, timing, aplicações, PLC, automação",Circuitos Lógicos; Arquitetura de Computadores e Tecnologias Embarcadas,72,7,6,Eletrônica Digital,3,"Programação FPGA, design HDL, síntese digital, análise de timing, automação","Verilog, VHDL, Quartus, Vivado, Analisadores lógicos, Osciloscópio","Provas 35%, Design 40%, Laboratório 25%"
Prática Profissional: Inteligência Artificial e Aprendizagem de Máquina,"Machine learning algorithms, deep learning, neural networks, supervised/unsupervised learning, PLN, computer vision applications",Programação Orientada a Objetos; Banco de Dados; Análise de Algoritmos,144,7,8,Inteligência Artificial,5,"Algoritmos ML, deep learning, treinamento de modelo, engenharia de recursos, ajuste de hiperparâmetros, implantação","Python, TensorFlow, PyTorch, scikit-learn, Jupyter, Pandas","Provas 20%, Projetos ML 50%, Projeto final 30%"
Controle Digital,"Sistemas digitais de controle, discretização, Z-transform, estabilidade digital, controladores digitais",Sistemas de Controle,72,8,6,Sistemas de Controle,3,"Design de controle digital, Z-transform, critérios de estabilidade, implEmentação de controlador, sistemas em tempo real","MATLAB, Simulink, C/Linguagem Assembly, Sistemas embarcados, Arduino","Provas 40%, Design 35%, ImplEmentação 25%"
Estágio Supervisionado em Engenharia de Computação,"Experiência prática, aplicação de conceitos, desenvolvimento profissional, relatório técnico, orientação acadêmica",Prática Profissional: Inteligência Artificial e Aprendizagem de Máquina,196,8,7,Prática Profissional,6,"Experiência profissional, integração de sistemas, resolução de problemas do mundo real, documentação técnica, trabalho em equipe, compreensão de negócios","Ferramentas da indústria e práticas, software profissional, controle de versão","Relatório 40%, Avaliação de supervisor 40%, Reflexão 20%"
Prática Profissional: Sistemas Autônomos e Robótica,"Robótica, controle autônomo, sensores, atuadores, ROS, planejamento de caminho, visão para robótica, IA em robótica",Arquitetura de Computadores e Tecnologias Embarcadas; Sistemas de Controle; Computação Visual,144,8,8,Robótica,5,"Programação de robô, sistemas autônomos, planejamento de trajeto, fusão de sensores, ROS, manipulação de robô, IA em robótica","ROS, Gazebo, MATLAB Robótica, Python, Arduino, Sensores","Provas 15%, Projetos de robô 60%, Apresentação final 25%"
Processamento Digital de Sinais,"Amostragem, quantização, transformadas, filtros digitais, análise espectral, aplicações, compressão",Circuitos Elétricos; Cálculo de Várias Variáveis; Controle Digital,72,8,7,Processamento de Sinais,3,"Análise de sinal, filtragem digital, FFT, análise espectral, processamento de áudio/imagem, compressão","MATLAB, Python (scipy), Bibliotecas DSP, Osciloscópio, Geradores de sinal","Provas 35%, Laboratório 35%, Projetos 30%"
